"gene_id","WT.1_count","WT.2_count","WT.3_count","KO.1_count","KO.2_count","KO.3_count","WT.12h.1_count","WT.12h.2_count","WT.12h.3_count","WT.24h.1_count","WT.24h.2_count","WT.24h.3_count","KO.12h.1_count","KO.12h.2_count","KO.12h.3_count","KO.24h.1_count","KO.24h.2_count","KO.24h.3_count"
"C2R79_RS06400",11577,10879,19850,11005,15174,10770,49475,30208,34620,25188,26337,29583,15796,14358,19047,18750,12993,14597
"C2R79_RS06405",1221,1300,2151,1647,2432,1570,1040,492,709,1572,1537,1579,341,283,518,909,662,692
"C2R79_RS06410",2283,2114,4012,3436,4872,3143,6582,3263,4260,5204,5779,6329,2569,2208,3192,4810,3941,3735
"C2R79_RS06415",4101,3992,7009,5236,7465,5338,1527,843,1049,1820,1862,2037,793,690,894,1956,1326,1478
"C2R79_RS06420",311,333,528,364,490,329,308,148,236,449,394,492,145,101,148,222,162,173
"C2R79_RS06425",1744,1580,3084,1379,1986,1281,3733,2487,2603,3830,3484,3724,1141,1129,1333,1743,1332,1366
"C2R79_RS06430",124,114,199,217,269,222,1000,617,722,496,482,552,444,410,434,356,292,313
"C2R79_RS06435",134,146,309,492,596,429,1055,664,871,771,820,873,571,425,581,855,590,704
"C2R79_RS06440",83,91,176,140,171,120,1366,774,1115,845,723,878,551,492,662,759,675,786
"C2R79_RS06445",2173,2033,3525,266,391,230,270,234,227,437,362,464,77,68,69,160,134,136
"C2R79_RS06455",186,159,323,372,506,330,2985,1484,2008,1494,1338,1472,990,852,1024,1013,642,743
"C2R79_RS06460",405,364,658,478,679,450,1605,972,1159,1095,1048,1131,544,443,621,474,376,427
"C2R79_RS06465",943,923,1563,905,1350,925,6858,4453,5292,10064,10201,11759,3020,2715,3204,5405,4398,4366
"C2R79_RS06470",8,10,21,13,15,12,0,0,3,2,4,6,0,1,5,4,0,1
"C2R79_RS06485",30,19,33,25,47,21,250,115,167,101,71,84,67,79,80,33,37,57
"C2R79_RS06495",3592,3425,6088,3701,4910,3436,55681,36879,42142,20582,21950,25960,20246,19797,23039,18837,16437,15864
"C2R79_RS06500",1343,1276,2446,1298,1776,1235,19893,13348,15361,6825,6519,7632,6723,6093,7309,3934,3410,3193
"C2R79_RS06505",768,677,1227,828,1176,766,3308,2080,2587,1507,1572,1765,1213,1039,1367,999,780,847
"C2R79_RS06510",634,620,1073,977,1296,879,4712,3126,3493,2101,2130,2577,1938,1924,2120,2204,2012,1924
"C2R79_RS06515",499,518,962,522,758,475,248,189,212,279,226,275,102,64,110,146,82,135
"C2R79_RS06520",1927,1863,3337,2846,4188,2736,3168,1940,2201,1963,2067,2345,1477,1309,1588,2243,1477,1811
"C2R79_RS06525",1273,1207,2176,1499,2163,1417,12375,6983,8510,5984,6972,7611,4613,4457,5450,6732,4978,5511
"C2R79_RS06530",160,126,259,163,269,152,386,203,289,170,189,226,162,135,179,233,138,171
"C2R79_RS06535",3070,2826,5011,3372,4832,3301,10965,6367,7572,6091,5871,6825,3889,3399,4611,5208,3670,4517
"C2R79_RS06540",198,223,322,301,380,240,3176,1695,2167,976,1049,1158,995,927,1223,914,681,829
"C2R79_RS06545",166,163,290,240,343,212,4628,2575,3032,1023,1114,1210,1424,1274,1805,966,728,833
"C2R79_RS06550",26,41,72,46,77,40,678,418,459,177,145,195,197,221,271,182,142,136
"C2R79_RS06555",87,76,152,90,148,104,431,279,312,121,110,109,134,142,156,83,60,67
"C2R79_RS06560",66,74,86,73,129,88,188,155,144,299,233,264,79,70,105,108,57,72
"C2R79_RS06565",570,509,901,1456,1999,1475,7621,4138,5536,5422,5383,5950,2565,2166,3104,2777,1819,2462
"C2R79_RS06570",1276,1288,2216,777,1136,764,408,272,309,192,196,195,132,123,160,173,99,135
"C2R79_RS06575",4354,4217,7568,3176,4400,2827,13033,8082,9185,6770,6321,8149,4731,4290,5260,5465,4036,4898
